FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29877,2012,76.27073953,1,Léger,-71.7703044,49.08919494,1658682.166,316214.6566,-237592.1799,570715.5191
29878,2012,14.59891682,3,Grave,-72.63714889,49.0941126,1599222.552,294526.4587,-300475.4046,574518.0001
29879,2012,1290.527015,1,Léger,-69.10037359,49.07323534,1839959.688,388010.4866,-43648.23688,563702.6068
29880,2012,34.4965419,1,Léger,-72.22709701,49.09390223,1627302.816,304904.8357,-270723.5361,572858.2134
29881,2012,8.942938818,3,Grave,-71.73644027,49.09498153,1660761.358,317699.1548,-235104.661,571243.3747
29882,2012,4.199317515,1,Léger,-71.77734845,49.09533756,1657957.884,316668.9107,-238072.4839,571417.9823
29883,2012,0.320640754,1,Léger,-69.16182317,49.09753157,1834770.759,388716.6982,-48089.90489,566430.5031
29884,2012,163.8033614,1,Léger,-71.79371583,49.08667089,1657185.483,315342.3024,-239304.7264,570514.5279
29885,2012,179.1347577,3,Grave,-71.68183139,49.08380797,1664929.225,317966.9137,-231195.1978,569830.2053
29886,2012,0.035607173,3,Grave,-72.7143558,49.09810608,1593777.12,293005.4793,-306050.4038,575286.3492
29887,2012,0.000855293,1,Léger,-72.01400206,49.09818378,1641696.403,310826.3128,-255234.6147,572548.2813
29888,2012,30.43966778,1,Léger,-68.96031267,49.09427512,1848419.054,394218.7208,-33450.13445,565955.3496
29889,2012,97.27049286,2,Modéré,-71.62576448,49.08798077,1668395.772,319869.068,-227366.1709,569289.1131
29890,2012,1.605931623,2,Modéré,-71.63143614,49.09749571,1667817.563,320707.5851,-227469.6287,571181.9327
29891,2012,4.509655531,3,Grave,-71.62874025,49.09691746,1668024.323,320718.2839,-227276.7202,571109.4409
29892,2012,191.1832472,1,Léger,-68.97065537,49.09076348,1847881.684,393560.0513,-34204.2621,565571.6597
29893,2012,99.59008711,2,Modéré,-72.60056398,49.09142216,1601833.004,295166.2394,-297838.2993,574067.8213
29894,2012,79.59294733,1,Léger,-71.44914856,49.0895399,1680441.705,324680.5652,-214714.2785,569460.226
29895,2012,0.028010068,3,Grave,-72.80428935,49.09882938,1587581.721,290831.94,-312568.8539,575754.972
29896,2012,0.030037799,1,Léger,-72.01408855,49.09861637,1641673.494,310869.065,-255238.542,572596.4006
29897,2012,0.057868919,3,Grave,-72.80326669,49.09889539,1587649.366,290864.3612,-312494.2412,575757.7964
29898,2012,97.36133605,1,Léger,-66.59483533,49.09333324,2005575.069,465795.622,138432.5032,567586.4033
